Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2015,2,1,7,31,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,Intersection,QUEBEC ST and TERMINAL AV,Downtown
2015,2,1,7,35,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,QUEBEC ST and TERMINAL AV,Downtown
2015,2,1,8,21,ENG - Streets,Streets Operations,Street - Surface Water Flooding,21##,FRANKLIN ST,Grandview-Woodland
2015,2,1,8,24,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,8600, - 8699 ANGUS DRIVE,Marpole
2015,2,1,9,4,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,Intersection,ANGUS DRIVE and SW MARINE DRIVE,Marpole
2015,2,1,9,14,CSG - Inspections,Property Use,PUI Noise Complaint Case,31##,YEW ST,Kitsilano
2015,2,1,9,27,CSG - Licenses,Animal Control,Dead Animal Pickup Case,6##,E KING EDWARD AV,Riley Park
2015,2,1,10,15,ENG - Water & Sewer,Water Operations,Water Leaks/Breaks,4##,W 38TH AV,Riley Park
2015,2,1,10,17,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,10##,E 57TH AV,Sunset
2015,2,1,10,19,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,10##,E 57TH AV,Sunset
2015,2,1,10,26,ENG - Streets,Streets Operations,Street - Repair,Intersection,CLARK DRIVE and E HASTINGS ST,Grandview-Woodland
2015,2,1,10,36,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,15##,W 71ST AV,Marpole
2015,2,1,10,44,PRB - Administration,General Park Board Information,PRB_Park Ranger SR,4##,POWELL ST,
2015,2,1,10,56,ENG - Solid Waste,Sanitation,Street Cleaning & Debris Pickup,Intersection,E BROADWAY and KINGSWAY,Mount Pleasant
2015,2,1,11,2,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,4##,E HASTINGS ST,Strathcona
2015,2,1,11,25,ENG - Streets,Traffic and Electrical Operations,Sign - Repair,Intersection,E 58TH AV and FRASER ST,Sunset
2015,2,1,11,34,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,##,E 13TH AV,Mount Pleasant
2015,2,1,11,40,ENG - Solid Waste,Sanitation,Recycling Box Request,35##,NORMANDY DRIVE,Renfrew-Collingwood
2015,2,1,11,41,ENG - Solid Waste,Sanitation,Recycling Bag Request,35##,NORMANDY DRIVE,Renfrew-Collingwood
2015,2,1,11,55,ENG - Solid Waste,Sanitation,Missed Yard Trimmings and Food Scraps Pickup,30##,GLEN DRIVE,Mount Pleasant
