Year,Month,Day,Hour,Minute,Department,Division,Case_Type,Hundred_Block,Street_Name,Local_Area
2019,2,1,0,4,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,35##,E 22ND AV,Renfrew-Collingwood
2019,2,1,0,16,DBL - Inspections,Property Use,PUI Noise Complaint Case,##,W HASTINGS ST,Downtown
2019,2,1,1,2,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,18##,SPYGLASS PLACE,Fairview
2019,2,1,7,8,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - External Organization,6##,CAMPBELL AV,Strathcona
2019,2,1,7,9,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - External Organization,7##,CAMPBELL AV,Strathcona
2019,2,1,7,17,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - External Organization,50##,GLADSTONE ST,Kensington-Cedar Cottage
2019,2,1,7,19,ENG - Transportation,Street Activities - Integrated Graffiti Management,Graffiti Removal - External Organization,18##,STAINSBURY AV,Kensington-Cedar Cottage
2019,2,1,7,27,ENG - Streets,Streets Operations,Streets - General Issues,0, - 99 ATHLETES WAY,Mount Pleasant
2019,2,1,7,29,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,25##,YORK AV,Kitsilano
2019,2,1,7,37,ENG - Streets,Streets Operations,Street - Surface Water Flooding,11##,E 17TH AV,Kensington-Cedar Cottage
2019,2,1,7,43,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,13##,E 17TH AV,Kensington-Cedar Cottage
2019,2,1,7,47,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,57##,PRINCE EDWARD ST,Sunset
2019,2,1,8,20,DBL - Inspections,Property Use,PUI Noise Complaint Case,9##,BURRARD ST,West End
2019,2,1,8,20,ENG - Streets,Streets Operations,Street - Surface Water Flooding,8##,W PENDER ST,Downtown
2019,2,1,8,22,DBL - Licensing & Animal Services,License Office,Gone Out of Business Case,24##,E GEORGIA ST,Hastings-Sunrise
2019,2,1,8,27,ENG - Streets,Streets Operations,Street - Surface Water Flooding,15##,VICTORIA DRIVE,Grandview-Woodland
2019,2,1,8,30,DBL - Licensing & Animal Services,License Office,Gone Out of Business Case,10##,W HASTINGS ST,Downtown
2019,2,1,8,37,ENG - Streets,Streets Operations,Street - Surface Water Flooding,5##,NICOLA ST,Downtown
2019,2,1,8,38,DBL - Licensing & Animal Services,License Office,Gone Out of Business Case,5##,E PENDER ST,Strathcona
2019,2,1,8,42,DBL - Licensing & Animal Services,License Office,Gone Out of Business Case,5##,W 10TH AV,Fairview
2019,2,1,8,43,ENG - Streets,Streets Operations,Street - Surface Water Flooding,30##,MANITOBA ST,Mount Pleasant
2019,2,1,8,47,DBL - Licensing & Animal Services,License Office,Gone Out of Business Case,5##,W 10TH AV,Fairview
2019,2,1,8,56,ENG - Streets,Streets Operations,Street - Surface Water Flooding,22##,PINE ST,Fairview
2019,2,1,8,58,DBL - Inspections,Property Use,PUI Noise Complaint Case,5##,POWELL ST,Strathcona
2019,2,1,9,2,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,17##,W 14TH AV,Fairview
2019,2,1,9,6,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,17##,W 14TH AV,Fairview
2019,2,1,9,7,Public Safety - Fire,Prevention,Fire Reinspection Request for Firehall,1##,POWELL ST,Downtown
2019,2,1,9,16,ENG - Streets,Streets Operations,Sidewalk - Repair,5##,E 61ST AV,Sunset
2019,2,1,9,18,DBL - Licensing & Animal Services,License Office,Licence Payment Request Case,28##,W 13TH AV,Kitsilano
2019,2,1,9,19,DBL - Licensing & Animal Services,License Office,Licence Payment Request Case,28##,W 13TH AV,Kitsilano
2019,2,1,9,22,ENG - Streets,"Streets, Traffic and Electrical Operations",Pavement Marking - Repair,5##,E 57TH AV,Sunset
2019,2,1,9,23,ENG - Streets,"Streets, Traffic and Electrical Operations",Pavement Marking - Repair,4##,E 57TH AV,Sunset
2019,2,1,9,23,ENG - Streets,"Streets, Traffic and Electrical Operations",Pavement Marking - Repair,5##,E 56TH AV,Sunset
2019,2,1,9,24,ENG - Streets,"Streets, Traffic and Electrical Operations",Pavement Marking - Repair,4##,E 56TH AV,Sunset
2019,2,1,9,33,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,4##,E 41ST AV,Sunset
2019,2,1,9,40,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,3##,E 57TH AV,Sunset
2019,2,1,9,40,DBL - Inspections,Property Use,PUI Noise Complaint Case,18##,ROBSON ST,West End
2019,2,1,9,44,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,2##,MAIN ST,Strathcona
2019,2,1,9,45,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,33##,ANZIO DRIVE,Renfrew-Collingwood
2019,2,1,9,46,DBL - Licensing & Animal Services,License Office,Gone Out of Business Case,18##,SPYGLASS PLACE,Fairview
2019,2,1,9,46,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,30##,ARBUTUS ST,Kitsilano
2019,2,1,9,48,DBL - Licensing & Animal Services,License Office,Gone Out of Business Case,36##,CITY EDGE PLACE,Killarney
2019,2,1,9,49,ENG - Streets,Streets Operations,Street - Repair,12##,MAIN ST,Downtown
2019,2,1,9,55,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,1##,W 61ST AV,Marpole
2019,2,1,10,1,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,GEORGIA VIADUCT and MAIN ST and PRIOR ST,Strathcona
2019,2,1,10,5,ENG - Water & Sewer,Waterworks Operations,Water Meter Issue,6##,BURRARD ST,Downtown
2019,2,1,10,9,ENG - Water & Sewer,Sewers Operations,Catch Basin Issues,23##,W 6TH AV,Kitsilano
2019,2,1,10,9,DBL - Licensing & Animal Services,License Office,Licence Payment Request Case,88##,HEATHER ST,Marpole
2019,2,1,10,18,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,23##,HERMON DRIVE,Hastings-Sunrise
2019,2,1,10,20,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,3##,W 4TH AV,Mount Pleasant
2019,2,1,10,20,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,4300, - 4399 SALISH DRIVE,Dunbar-Southlands
2019,2,1,10,23,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,32##,W 12TH AV,Kitsilano
2019,2,1,10,32,Public Safety - Fire,Prevention,FPB_General Inquiry Case,57##,UNIVERSITY BOULEVARD,
2019,2,1,10,40,ENG - Streets,Streets Operations,Street - Surface Water Flooding,37##,GLEN DRIVE,Kensington-Cedar Cottage
2019,2,1,10,42,ENG - Water & Sewer,Waterworks Operations,Water Leaks/Breaks,2##,N SLOCAN ST,Hastings-Sunrise
2019,2,1,10,43,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,32##,EUCLID AV,Renfrew-Collingwood
2019,2,1,10,49,ENG - Transportation,Parking Ops & Enforcement,Abandoned Vehicle Request,4##,E 19TH AV,Riley Park
2019,2,1,10,53,DBL - Licensing & Animal Services,License Office,Gone Out of Business Case,22##,E 41ST AV,Kensington-Cedar Cottage
2019,2,1,10,56,DBL - Licensing & Animal Services,Animal Services,Animal Control General Inquiry Case,6##,ABBOTT ST,Downtown
2019,2,1,10,58,ENG - Streets,Streets Operations,Street - Surface Water Flooding,10##,W 10TH AV,Fairview
2019,2,1,11,4,DBL - Licensing & Animal Services,License Office,Licence Payment Request Case,29##,W 41ST AV,Dunbar-Southlands
2019,2,1,11,10,ENG - Water & Sewer,Sewers Operations,Sewer Manhole Issues,13##,BARCLAY ST,West End
2019,2,1,11,10,ENG - Streets,"Streets, Traffic and Electrical Operations",Street Light - Out,22##,ETON ST,Grandview-Woodland
2019,2,1,11,13,ENG - Streets,Streets Operations,Streets - General Issues,Intersection,BURRARD ST and NELSON ST,Downtown
2019,2,1,11,15,ENG - Streets,Streets Operations,Pothole - Repair,33##,VALLEY DRIVE,Arbutus-Ridge
2019,2,1,11,15,ENG - Water & Sewer,Sewers Operations,Sewer Pipe Inquiries,11##,ROSSLAND ST,Hastings-Sunrise
2019,2,1,11,17,ENG - Streets,"Streets, Traffic and Electrical Operations",Sign - Repair,Intersection,MANITOBA ST and W KING EDWARD AV,Riley Park
2019,2,1,11,22,DBL - Licensing & Animal Services,License Office,Licence Payment Request Case,10##,E 62ND AV,Sunset
2019,2,1,11,24,DBL - Licensing & Animal Services,License Office,Gone Out of Business Case,5##,W 10TH AV,Fairview
2019,2,1,11,29,ENG - Streets,Streets Operations,Homelessness/Transient Issue,Intersection,ALEXANDER ST and DUNLEVY AV,Strathcona
